page_id,lec_id
iir-2329-336,lecture-9
iir-2329-337,lecture-9
iir-2329-338,lecture-9
iir-2330-338,lecture-9
iir-2330-339,lecture-9
iir-2330-340,lecture-9
iir-2330-341,lecture-9
iir-2330-342,lecture-9
iir-2330-343,lecture-9
iir-2331-343,lecture-9
iir-2331-344,lecture-9
iir-2331-345,lecture-9
iir-2332-345,lecture-9
iir-2332-346,lecture-9
iir-2332-347,lecture-9
iir-2332-348,lecture-9
iir-2332-349,lecture-9
iir-2332-350,lecture-9
iir-2332-351,lecture-9
iir-2333-351,lecture-9
iir-2333-352,lecture-9
iir-2334-352,lecture-9
iir-2334-353,lecture-9
iir-2334-354,lecture-9
iir-2335-386,lecture-9
iir-2335-387,lecture-9
iir-2336-387,lecture-9
iir-2336-388,lecture-9
iir-2336-389,lecture-9
iir-2336-390,lecture-9
iir-2336-391,lecture-9
iir-2337-391,lecture-9
iir-2337-392,lecture-9
iir-2338-392,lecture-9
iir-2338-393,lecture-9
iir-2339-393,lecture-9
iir-2339-394,lecture-9
iir-2339-395,lecture-9
iir-2339-396,lecture-9
iir-2339-397,lecture-9
iir-2340-397,lecture-9
iir-2340-398,lecture-9
iir-2340-399,lecture-9
iir-2340-400,lecture-9
iir-2340-401,lecture-9
iir-2340-402,lecture-9
iir-2341-402,lecture-9
iir-2341-403,lecture-9
iir-2341-404,lecture-9
iir-2341-405,lecture-9
iir-2342-405,lecture-9
iir-2342-406,lecture-9
iir-2342-407,lecture-9
iir-2342-408,lecture-9
iir-2342-409,lecture-9
iir-2343-409,lecture-9
iir-2343-410,lecture-9
iir-2343-411,lecture-9
iir-2344-411,lecture-9
iir-2344-412,lecture-9
iir-2345-414,lecture-9
iir-2345-415,lecture-9
iir-2346-415,lecture-9
iir-2346-416,lecture-9
iir-2346-417,lecture-9
iir-2346-418,lecture-9
iir-2346-419,lecture-9
iir-2347-419,lecture-9
iir-2347-420,lecture-9
iir-2347-421,lecture-9
iir-2347-422,lecture-9
iir-2348-422,lecture-9
iir-2348-423,lecture-9
iir-2348-424,lecture-9
iir-2348-425,lecture-9
iir-2349-425,lecture-9
iir-2349-426,lecture-9
iir-2349-427,lecture-9
iir-2349-428,lecture-9
iir-2350-428,lecture-9
iir-2350-429,lecture-9
iir-2350-430,lecture-9
iir-2351-430,lecture-9
iir-2351-431,lecture-9
iir-2351-432,lecture-9
iir-2352-432,lecture-9
iir-2352-433,lecture-9
iir-2353-433,lecture-9
iir-2353-434,lecture-9
iir-2353-435,lecture-9
iir-2354-435,lecture-9
iir-2354-436,lecture-9
iir-2355-436,lecture-9
iir-2355-437,lecture-9
iir-2355-438,lecture-9
iir-2356-438,lecture-9
